"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","url","categoryName"
"The Lion Fish Hostel","3.7","182","M64W+H52, Av. 71","Puerto Viejo de Talamanca","Limón","CR",,"+506 2750 2143","Albergue",,,,,"https://www.google.com/maps/search/?api=1&query=The%20Lion%20Fish%20Hostel&query_place_id=ChIJRfWeFg1Qpo8RkXnC6iZ6EcU","Albergue"
"Club Dub Hostel","4.6","16","Playa Cocles contiguo a Cariblue","Puerto Viejo de Talamanca","Limón","CR",,"+506 8549 1662","Albergue",,,,,"https://www.google.com/maps/search/?api=1&query=Club%20Dub%20Hostel&query_place_id=ChIJZQwibwFQpo8R5fLmimrXbsM","Albergue"
"EVIA Life Resort","5","24","M666+CH","Puerto Viejo de Talamanca","Limón","CR","https://www.evialiferesort.com/","+506 8446 8111","Complejo hotelero",,,,,"https://www.google.com/maps/search/?api=1&query=EVIA%20Life%20Resort&query_place_id=ChIJjbZjsNRRpo8RNq5X-cplrfs","Complejo hotelero"
"Casa Wolaba","4.3","96","Entre calle 217 y 219, Avenida 67","Puerto Viejo de Talamanca","Limón","CR","https://www.casawolaba.com/en/","+506 6135 2969","Albergue",,,,,"https://www.google.com/maps/search/?api=1&query=Casa%20Wolaba&query_place_id=ChIJQ-nsxw1Qpo8RKWDYxRFfGq8","Albergue"
"El Clan Hostel","4.6","94","Detrás de Koki Beach Restaurant, Avenida 69 entre calles 217 y 219","Puerto Viejo de Talamanca","Limón","CR","http://www.elclanhostel.com/","+506 6374 1221","Albergue",,,,,"https://www.google.com/maps/search/?api=1&query=El%20Clan%20Hostel&query_place_id=ChIJba3Lv1ZRpo8RUat8oO8TMEg","Albergue"
"Hostal Cecilia","4.1","154","Playa Salsa Brava (Contiguo a Hostel Rocking J's, entrada de Lavanderia La Estrella), Puerto Viejo 70401","Puerto Viejo de Talamanca","Limón","CR",,"+506 2750 0302","Albergue",,,,,"https://www.google.com/maps/search/?api=1&query=Hostal%20Cecilia&query_place_id=ChIJD9nS4g9Qpo8RTt6_1zkorqU","Albergue"
"Agapi Beachfront Hostel Boutique","4.1","77","Limòn, Puerto Viejo","Cocles","Limón","CR","https://www.instagram.com/agapi.pv?igsh=Yjk0ZjgycnY2bWY2&utm_source=qr","+506 8872 7230",,,,,,"https://www.google.com/maps/search/?api=1&query=Agapi%20Beachfront%20Hostel%20Boutique&query_place_id=ChIJE_-IPAVQpo8RlXKFIIqS-Wc",
"Madre Selva Jungle Hostel.","4.2","150","Margarita Rd, Cocles Limon, Talamanca","Puerto Viejo de Talamanca","Limón","CR",,"+506 6436 3810","Albergue",,,,,"https://www.google.com/maps/search/?api=1&query=Madre%20Selva%20Jungle%20Hostel.&query_place_id=ChIJ7c-hGJtFpo8RGAFTQqgTrv4","Albergue"
"Roots Family Hostel","4.4","169","C. 217","Puerto Viejo de Talamanca","Limón","CR","https://www.rootsfamilyhostel.com/es/","+506 6149 1688","Albergue",,,,,"https://www.google.com/maps/search/?api=1&query=Roots%20Family%20Hostel&query_place_id=ChIJvSypog1Qpo8RJHbxrcCYVtA","Albergue"
"Tasty Dayz Hostel","4.2","147","playa Cocles, en frente de la isla","Puerto Viejo de Talamanca","Limón","CR","http://tastydayz.com/","+506 2750 0128","Albergue",,,,,"https://www.google.com/maps/search/?api=1&query=Tasty%20Dayz%20Hostel&query_place_id=ChIJWcA5bgdRpo8RS3zI97QCgXk","Albergue"
"La Ruka Hostel","4.6","358","300 m sur de Salsa Brava, Ruta Nacional Secundaria 256","Puerto Viejo de Talamanca","Limón","CR","http://larukahostel.com/","+506 2750 0617","Albergue","Hotel","Centro de retiro de yoga","Centro de yoga",,"https://www.google.com/maps/search/?api=1&query=La%20Ruka%20Hostel&query_place_id=ChIJ9afB2A9Qpo8RXC13F9VJVsA","Albergue"
"Pagalú Hostel","4.5","371","M64W+26F, Av. 69","Puerto Viejo de Talamanca","Limón","CR","http://www.pagalu.com/","+506 2750 1930","Albergue",,,,,"https://www.google.com/maps/search/?api=1&query=Pagal%C3%BA%20Hostel&query_place_id=ChIJw4rn4wxQpo8RR5bkcebYJuY","Albergue"
"Playa 506 Beachfront Hostel & Ecolodge","4.4","878","North from Rio, 300m","Cocles","Limón","CR","https://playa506.com/","+506 2750 3158","Hotel",,,,,"https://www.google.com/maps/search/?api=1&query=Playa%20506%20Beachfront%20Hostel%20%26%20Ecolodge&query_place_id=ChIJJ_-TtgFQpo8RaKK4UOIf1Mo","Hotel"
"Rocking J's Beach Front Hostel","4","1219","256 70403","Puerto Viejo de Talamanca","Limón","CR","http://www.rockingjs.com/","+506 2750 0665","Albergue",,,,,"https://www.google.com/maps/search/?api=1&query=Rocking%20J's%20Beach%20Front%20Hostel&query_place_id=ChIJofjrHBBQpo8RAcl4Uzz3iSc","Albergue"
"Sonora Jungle & Yoga Retreat","4.7","171","2 km oeste Hotel Banana Azul, Playa negra 1","Puerto Viejo de Talamanca","Limón","CR","https://sonoracostarica.com/","+506 2101 4062","Hotel","Centro de yoga",,,,"https://www.google.com/maps/search/?api=1&query=Sonora%20Jungle%20%26%20Yoga%20Retreat&query_place_id=ChIJzX0Bik5Rpo8RL2-serCh0ro","Hotel"
"Perla Negra Beachfront","3.8","154","Playa Negra, 100m antes de Banana Azul","Puerto Viejo de Talamanca","Limón","CR",,"+506 8621 0247","Bed & Breakfast","Hotel",,,,"https://www.google.com/maps/search/?api=1&query=Perla%20Negra%20Beachfront&query_place_id=ChIJ2-iTDjVRpo8RtxLKSZuwVj0","Bed & Breakfast"
"INARA Puerto Viejo","4.8","38","Hotel One Love, Pan dulce, contiguo a","Puerto Viejo de Talamanca","Limón","CR","https://www.villasinarapuertoviejo.com/es/","+506 8516 9690","Villa","Hotel",,,,"https://www.google.com/maps/search/?api=1&query=INARA%20Puerto%20Viejo&query_place_id=ChIJtwlJ2d5Rpo8RgzdN9GbyWrE","Villa"
"Oso Perezoso pool Villa","4.9","46","Puerto viejo, Playa Negra 200 MO 75 ME 75 MS Limón Playa Negra","Talamanca","Limón","CR",,"+506 8986 6588",,,,,,"https://www.google.com/maps/search/?api=1&query=Oso%20Perezoso%20pool%20Villa&query_place_id=ChIJE8p_aXFRpo8REdorYEZZ1mM",
"Samasati Retreat Center","4.3","86","From the public school in Hone Creek 800 meters towards Carbon 1 street","Hone Creek","Limón","CR","http://www.samasati.com/","+506 8733 7342","Centro de retiro","Centro de meditación","Reserva natural","Centro de retiro de yoga",,"https://www.google.com/maps/search/?api=1&query=Samasati%20Retreat%20Center&query_place_id=ChIJBZidFaRQpo8RSeKJB0w0AyE","Centro de retiro"
"Hotel Isla Inn","3.9","581","M726+QCP In front of Cocles Beach in","Puerto Viejo de Talamanca","Limón","CR","http://www.hotelislainn.com/","+506 2750 0109","Hotel","Bar restaurante",,,,"https://www.google.com/maps/search/?api=1&query=Hotel%20Isla%20Inn&query_place_id=ChIJ7S9AXgFQpo8RnRQ5vNlqAK8","Hotel"
"La Tribu Hostel for Women","4.5","99","25m Este, 100m Sur de Supermercado Diamante, C. de Veronicas place 2","Puerto Viejo de Talamanca","Limón","CR","https://www.latribupv.com/en/","+506 8769 7690",,,,,,"https://www.google.com/maps/search/?api=1&query=La%20Tribu%20Hostel%20for%20Women&query_place_id=ChIJd7vupSFRpo8RwhKjloarw3Y",
"Cariblue Beach and Jungle Resort","4.2","1235","Hotel Cariblue, C. Cariblue","Limon","Limón","CR","https://cariblue.com/","+506 2750 0035","Hotel","Complejo hotelero",,,,"https://www.google.com/maps/search/?api=1&query=Cariblue%20Beach%20and%20Jungle%20Resort&query_place_id=ChIJV8N_OwFQpo8R3IEMEeoMbss","Hotel"
"Cabinas El Shaddai",,,"portón rojo a mano derecha, 200 metros al noroeste de la Ferretería La Unión","Puerto Viejo de Talamanca","Limón","CR",,"+506 8688 6868","Hotel",,,,,"https://www.google.com/maps/search/?api=1&query=Cabinas%20El%20Shaddai&query_place_id=ChIJRcScYCRbpo8RMfvoXqe2Y-Q","Hotel"
"Pura Selva Glamping & Chalet","5","5","C. El Tucán","Cocles","Limón","CR",,"+506 6047 0606","Hotel",,,,,"https://www.google.com/maps/search/?api=1&query=Pura%20Selva%20Glamping%20%26%20Chalet&query_place_id=ChIJ83lGVV5bpo8RTEzhCgMApNE","Hotel"
"Rainforest glamping experience with private plunge pool in jungle garden",,,,"Cocles","Limón","CR",,"","Casa de campo","Vacation rental",,,,"https://www.google.com/maps/search/?api=1&query=Rainforest%20glamping%20experience%20with%20private%20plunge%20pool%20in%20jungle%20garden&query_place_id=ChIJEYj8klJFpo8R2df_Ka7fquw","Casa de campo"
"La Prometida Hotel","5","155","220 Metros de La Perla Negra","Puerto Viejo de Talamanca","Limón","CR","https://www.laprometidahotel.com/","+506 6094 1610","Hotel",,,,,"https://www.google.com/maps/search/?api=1&query=La%20Prometida%20Hotel&query_place_id=ChIJl9LhBTFRpo8RhczW0m4zWJM","Hotel"
"Hotel Banana Azul","4.5","1422","Playa Negra Limón","Puerto Viejo de Talamanca","Limón","CR","https://www.bananaazul.com/","(786) 574-6156","Hotel","Bar","Complejo hotelero","Restaurante","Supermercado","https://www.google.com/maps/search/?api=1&query=Hotel%20Banana%20Azul&query_place_id=ChIJi8kEdxJQpo8RKrm98lYY0C0","Hotel"
