name,url,phone,email,website,region,status,whatsapp,mobile
"Villas lirio Hotel","https://es.visitcostarica.com/planning-your-trip/hotels/villas-lirio-hotel","(506) 2777-4034","reservations@villaslirio.com","https://villaslirio.com","Quepos costado norte, escuela bilingue Manuel Antonio, Quepos 60601 Aguirre","ok","50687773827",""
"San Bada Hotel","https://es.visitcostarica.com/planning-your-trip/hotels/san-bada-hotel","(506) 2777-5333","reservas@hotelsanbada.com","https://hotelsanbada.com","Quepos contiguo entrada Parque Nacional Manuel Antonio 60601 Aguirre","ok","50687329999","62777533"
"Pacandé Hotel","https://es.visitcostarica.com/planning-your-trip/hotels/pacande-hotel","(506) 2443-8481","info@hotelpacande.com","","Alajuela 200 MTS NORTE Y 50 OESTE DE LA MUNICIPALIDAD, ALAJUELA 20101 Alajuela","ok","",""
"Casa Conde Beach Front Hotel","https://es.visitcostarica.com/planning-your-trip/hotels/casa-conde-beach-front-hotel","(506) 2586-7300","reservaciones@ccbeachfrontpapagayo.com","https://ccbeachfrontpapagayo.com","Nacascolo Playa Panamá 50104 Liberia","ok","50670531791","62586730"
"Terrazas del Caribe","https://es.visitcostarica.com/planning-your-trip/hotels/terrazas-del-caribe","+506 2750-0949","info@terrazasdelcaribe.com","https://terrazasdelcaribe.com/","Limón, Talamanca, Cahuita, Puerto Viejo, Cocles, 800 metros Oeste de calle Azania.","ok","",""
"Crowne Plaza Corobici","https://es.visitcostarica.com/planning-your-trip/hotels/crowne-plaza-corobici","(506) 2543-6000","info@corobicicp.co.cr","https://crowneplaza.com/corobici","Mata Redonda Costado Norte del parque La Sabana 10108 San José","ok","",""
"Villa Caletas","https://es.visitcostarica.com/planning-your-trip/hotels/villa-caletas","(506) 2630-3000","reservations@villacaletas.com","https://villacaletas.com","Jacó 2.5 kms carretera a Jacó, después de Punta Leona. 61101 Garabito","ok","","80046913"
"Los Pinos Cabañas y Jardines","https://es.visitcostarica.com/planning-your-trip/hotels/los-pinos-cabanas-y-jardines","+506 2645-5252","info@lospinos.net","https://lospinos.net","150m SE de la Escuela Rafael Arguedas Cerro Plano Monteverde","ok","",""
"Rio Perdido Hotel","https://es.visitcostarica.com/planning-your-trip/hotels/rio-perdido-hotel","(506) 2673-3600","gerencia@rioperdido.com","https://rioperdido.com","Bagaces San Bernardo de Bagaces 50401 Bagaces","ok","",""
"Xandari Resort & Spa","https://es.visitcostarica.com/planning-your-trip/hotels/xandari-resort-spa","(506) 2443-2020","info@xandari.com","https://xandari.com","San Isidro Tacacori, Alajuela 1 km al noreste del Salón Diamante. 20106 Alajuela","ok","","86636332"
"Posada Arenal","https://es.visitcostarica.com/planning-your-trip/hotels/arenal-country-inn","(506) 2283-0101","info@arenalcountryinn.com","https://arenalcountryinn.com","Florencia Media milla al sur de la parte posterior de la Iglesia Católica La Fortuna. La Fortuna. 21002 San Carlos","ok","",""
"Amor Arenal","https://es.visitcostarica.com/planning-your-trip/hotels/amor-arenal","+506 2479-7070","reservations@amorarenal.com","https://amorarenal.com","Fortuna, 7 km oeste del centro de la Fortuna. San Carlos","ok","","88841884"
"Finca Villa Tina","https://es.visitcostarica.com/planning-your-trip/hotels/finca-villa-tina","(506) 2460-9609","info@fvillatina.com","https://fvillatina.com","Quesada La Abundania de San Carlos 21001 San Carlos","ok","",""
"Hotel El Bambu Sarapiquí","https://es.visitcostarica.com/planning-your-trip/hotels/el-bambu-sarapiqui-hotel","(506) 2766-6005","mgonzalez@elbambu.com","https://elbambu.com","Puerto Viejo Frente Plaza Sarapiquí. 41001 Sarapiquí","ok","",""
"Casa Luna Hotel & Spa","https://es.visitcostarica.com/planning-your-trip/hotels/casa-luna-hotel-spa","(506) 2479-7368","reservas@casalunahotel.com","https://casalunahotel.com","La Fortuna 1 km sur y 1.5 km este del Redondel 21007 San Carlos","ok","",""
"La Pradera del Arenal","https://es.visitcostarica.com/planning-your-trip/hotels/la-pradera-del-arenal","(506) 2479-9597","info@lapraderadelarenal.com","https://lapraderadelarenal.com","La Fortuna 2 km al oeste de la Fortuna, carretera al Arenal 21007 San Carlos","ok","",""
